shopName,reviewCount,avgPrice,address,tel,time
麦当劳(龙珠路店),366,26,"新华街龙珠路32号星缘美居首层（大润发旁,来又来时尚购物广场对面）",020-36928028,McDonald's 周一至周日 全天
麦当劳(从化从城大道远达广场分店),253,18,从城大道93号、95号、107号203铺,020-26211479,周一至周日 07:00-23:00
麦当劳(沙面店),1023,34,沙面大街54号首层北面厅,020-88501302,周一至周日 07:00-22:00
麦当劳(西村店),696,26,环市西路54号地下层,020-86474532,McDonald's 周一至周日 全天
麦当劳(雅悦城分店),138,28,秀全街道花都永发路14号之五十八、五十九,020-86972701,周一至周日 全天
麦当劳(从化从城大道店),1579,20,江埔街海塱东路7号欣荣宏.国际商贸城1-1层05超市之自编101号商铺（华润万家正门旁）,020-37507910,周一至周日 全天
麦当劳(江南大道南店),546,15,江南大道南408号,020-34214114,McDonald's 尚无营业时间
麦当劳(捷泰店),1111,20,中山六路218号捷泰广场首层（近西门口地铁站）,020-81321195,McDonald's 周一至周日 07:00-23:00
麦当劳(江高店),284,19,江高镇江村家宜多商场109号首层（近江高步行街）,020-36770064,McDonald's 周一至周日 全天
麦当劳(优托邦店),730,27,珠江新城花城大道88号首层,020-38615091,McDonald's 周一至周日 07:00-23:00
麦当劳(开发区店),246,24,青年路4号（近青年路口站）,020-82221552,McDonald's 周一至周日 全天
麦当劳(桥南路店),266,24,桥南街南珠路1号,020-84815033,McDonald's 周一至周日 全天
麦当劳(黄石北路店),314,19,黄石北路65号67号69号73-87号【单】101房及89号91号101房02-05商铺,020-37153470,McDonald's 周一至周日 全天
麦当劳(广州塔店),940,33,阅江西路222号广州塔首层116及117号商铺,020-34362352,McDonald's 周一至周日 07:00-23:00
麦当劳(广州东站二店),480,22,火车东站A19-21号铺,020-87584652,McDonald's 周一至周日 07:00-22:00
麦当劳(广州祈福交通中心店),19,24,钟村街市广路277号之103之二商铺,020-84828275,周一至周日 07:00-23:00
麦当劳(狮岭合成店),271,33,杨赤路段合城村,020-86985932,McDonald's 周一至周日 全天
麦当劳(南沙中海环宇城店),114,27,凤凰大道89号122、219号之一铺,020-83575802,周一至周日 07:00-22:00
麦当劳(广州白云机场T1分店),513,43,机场大道东白云国际机场T1航站楼A区到达区1楼C102（近到达区A12号门）,020-37152063,McDonald's 周一至周日 06:00-22:00
麦当劳(增城挂绿店),213,23,荔城街挂绿路6号挂绿广场首、二层,020-82710106,McDonald's 周一至周日 全天
麦当劳(昌岗中店),1054,23,昌岗中路130号首层及二层商铺,020-89564862,McDonald's 周一至周日 全天
麦当劳(正佳广场店),329,20,天河路228号正佳广场五楼561铺,020-85505753,周一至周日 10:00-22:00
麦当劳(温泉东路餐厅店),398,32,温泉镇温泉东路112号,020-37502815,周一至周日 07:00-23:00
麦当劳(东漖南路店),435,19,东漖南路123号商业楼首层,020-81675996,McDonald's 周一至周日 全天
麦当劳(新塘国际店),286,26,荔新大道新塘国际贸易中心1幢首层、二层,020-82706103,McDonald's 周一至周日 全天
麦当劳(三元里大道第三店),306,25,三元里大道423号一层自编14号和二层自编14号,020-34003386,周一至周日 全天
麦当劳(松南路店),385,16,松南路1号自编B栋首层自编101号商铺,020-81783522,McDonald's 周一至周日 全天
麦当劳(风神大道分店),123,18,风神大道18号1区11栋109、110、111、112、113（飞鹅岭地铁站D口）,020-86867564,周一至周日 07:00-23:00
麦当劳(三元里大道店),295,23,三元里大道684号之一自编A01,020-86338013,McDonald's 周一至周日 全天
麦当劳(芳村店),441,21,花地大道北花地城广场首层,020-81548597,McDonald's 周一至周日 全天
麦当劳(亚运大道得来速分店),151,21,金禺西街77号,020-85829012,周一至周日 全天
麦当劳(小北路店),512,23,鹏源发展大厦,020-83551877,McDonald's 周一至周日 00:00-22:00
麦当劳(萝岗开创大道店),712,25,开创大道与科丰路交叉口万达广场2楼,020-82006484,McDonald's 周一至周日 10:00-22:00
麦当劳(先烈中路店),453,29,先烈中路110号首层（近动物园公交总站）,020-38378610,McDonald's 周一至周日 全天
麦当劳(增城万达广场店),452,22,荔城街增城大道69号增城万达广场1号门二楼麦当劳,020-32160396,周一至周日 10:00-22:00
麦当劳(黄埔大道西店),813,22,黄埔大道499号首、二层自编29号（近石牌东路国防大厦）,020-38816892,McDonald's 周一至周日 07:00-23:00
麦当劳(新塘官湖星图得来速店),23,38,新塘镇安伦路94号、98号、102号、106号商铺,020-32051984,周一至周日 07:00-22:00
麦当劳(伟城广场店),824,25,黄埔大道伟诚广场首二层（近程介村站）,020-85636726,McDonald's 周一至周日 全天
麦当劳(凤凰北路店),299,26,凤凰北路63号融创茂2001商铺,020-86962161,周一至周日 10:00-22:00
麦当劳(五山路第二店),714,24,五山路141号尚德大厦首层104A号商铺,020-38551661,McDonald's 周一至周日 07:00-23:00
麦当劳(中二横路店),710,24,麦当劳中二横路分店（小谷围街中二横路1号高高新天地商业广场一层1028商铺）,020-39167352,周一至周日 全天
麦当劳(敦和店),455,23,敦和路59号之一,020-84214303,McDonald's 周一至周日 全天
麦当劳(南沙星河店),208,27,番中公路黄阁段37号之一168铺,4009200205,周一至周日 07:00-22:00
麦当劳(兴业路店),227,23,大岗镇兴业路阳光城市广场首层,020-34995028,McDonald's 周一至周日 全天
麦当劳(广场路店),165,21,榄核镇蔡新璐、广场路A7-2建筑,020-34669502,周一至周日 全天
麦当劳(海印广场店),507,20,大沙头路21号海印广场首二层,020-83847725,McDonald's 周一至周日 全天
麦当劳(棠下店),722,24,中山大道棠下村口达善大街1号之三首层商铺,020-85628546,McDonald's 周一至周日 全天
麦当劳(新新大道岗丰店),191,26,(永和)岗丰大道２号之自编商业D1栋,020-32146148,McDonald's 周一至周日 全天
麦当劳(番禺宾馆店),329,14,番禺宾馆分店（市桥街大北路140号）,020-84816221,McDonald's 周一至周日 全天
麦当劳(南环路得来速店),279,23,石楼镇赤岗村“尚上名筑A区商铺(一区)”首层部分商铺,020-31042680,McDonald's 周一至周日 全天
麦当劳(花都宝华路店),300,14,新华街宝华路36号心心大厦首层,020-36804203,McDonald's 周一至周日 全天
麦当劳(时代印象分店),362,27,广从南路时代印象底商（太平地铁B出口旁）,020-61848184,周一至周日 07:00-23:00
麦当劳(江南酒店店),880,20,江南大道中路348号,020-84237632,McDonald's 周一至周日 全天
麦当劳(北飞粤大道得来速店),7,23,飞粤大道9号B-6栋(自编)01号、02号、03号商铺,020-37737684,周一至周日 全天
麦当劳(侨建御溪谷分店),139,19,中新镇侨建御溪谷花园御宾街2号首层自编1001号商铺,020-31071264,周一至周日 07:00-23:00
麦当劳(东方时代广场分店),644,19,东方宾馆东翼商场,020-86678359,McDonald's 周一至周日 全天
麦当劳(石碁万佳汇店),143,32,龙涌东路10号首层部分商铺,020-39962051,周一至周日 07:00-22:00
麦当劳(东平中路分店),204,24,永平街东平村东平中路5号首层部分,020-31236872,周一至周日 全天
麦当劳(太和中路店),327,26,太和镇太和中路94号首层自编03商铺（太和医院对面）,020-37311151,McDonald's 周一至周日 全天
麦当劳(番禺繁华路店),295,20,繁华路90号一楼102商铺,020-84877718,McDonald's 周一至周日 07:00-24:00
麦当劳(花都建设路店),203,24,商业大道22号,020-86812006,McDonald's 周一至周日 全天
麦当劳(北亭广场分店),733,27,北亭大街大学城北亭广场首层,020-39230136,McDonald's 周一至周日 全天
麦当劳(新市店),306,29,机场路1149号首层、二层,020-86650872,McDonald's 周一至周日 全天
麦当劳(白云江高学苑路店),2,23,江高镇学苑路1号10A楼首层101房商铺,4009200205,周一至周日 07:00-22:00
麦当劳(梅山大道店),280,23,南村镇梅山大道北人人佳购物城首层57铺,020-34728425,番禺南村M记 周一至周日 全天
麦当劳(进港大道南沙城分店),173,22,进港大道6号南沙城101房D129D130D131D136商铺,020-34685827,周一至周日 07:30-22:00
麦当劳(汉溪大道东二分店),484,28,钟村镇汉溪大道东276号、泽溪街1号,020-34619950,周一至周日 全天
麦当劳(沙河店),258,25,先烈东路296号沙河宾馆首层,020-87255585,McDonald's 周一至周日 全天
麦当劳(环市中路店),365,21,环市中路301-303号1楼商铺,020-83497010,McDonald's 周一至周日 07:00-23:00
麦当劳(金融大厦店),482,25,金融大厦麦当劳（盘福路口）,020-83397275,McDonald's 周一至周日 07:00-23:00
麦当劳(东方宝泰广场店),519,23,林和中路63号103铺,020-38615467,McDonald's 周一至周日 07:00-22:00
麦当劳(增城西城路店),246,22,增城荔城街西城路23号首层,020-82731316,McDonald's 周一至周日 全天
麦当劳(龙溪中路得来速店),375,22,旧龙溪路邦华星际广场,020-81657417   020-81747919,周一至周日 全天
麦当劳(增城大道得来速店),37,26,增城大道471号大国璟商铺16、17、18、19之一、20,020-31562212,周一至周日 07:00-22:00
麦当劳(燕岭路店),542,24,燕岭路新燕大厦首层91号铺,020-38677859,McDonald's 周一至周日 全天
麦当劳(石井店),192,23,石槎路东侧A幢首层,020-31215790,McDonald's 周一至周日 全天
麦当劳(花城大道店),546,23,新城花城大道760号首层及二层（近南国花园）,020-38069027,McDonald's 周一至周日 全天
麦当劳(增城万汇广场得来速店),83,28,巷口村万汇广场商业楼自编B6、B8号商铺,020-82648764,周一至周日 全天
麦当劳(黄村大道路店),461,22,黄村大道路5号首层101号商铺及二层201商铺,020-32206199,McDonald's 周一至周日 全天
麦当劳(花地大道中第二分店),391,18,荔胜广百广场夹层,020-34121294   36062974,周一至周日 07:00-22:00
麦当劳(番禺易发商业街店),364,21,市桥繁华路易发商业街东街一楼、二楼),020-84703399,McDonald's 周一至周日 07:00-23:00
麦当劳(花城大道第三店),922,25,花城大道89号花城汇南区负一层3001号商铺,020-38317158,McDonald's 周一至周日 08:00-22:00
麦当劳(黄埔绿地缤纷城店),236,25,亿创街18号首层,020-86920124,周一至周日 07:30-22:00
麦当劳(鹤洞路店),348,20,鹤洞路152、154号101铺01部,020-36854944,周一至周日 全天
麦当劳(华夏路店),1168,22,珠江新城花城大道高德置地广场春商场第B2麦当劳,020-38838344,周一至周日 07:30-22:00
麦当劳(体育东潮流站分店),150,19,体育东路39-45号地下一层B101-06号商铺,13416132610,周一至周日 全天
麦当劳(盛兴大街店),326,27,市桥街兴泰路297号基盛万科中央公园C区C1-5铺,020-31563770,周一至周日 07:30-22:00
麦当劳(天源路分店),460,19,天源路5号,020-37362771,周一至周日 全天
麦当劳(陈家林路店),263,31,陈家林路59号及61号商铺,020-31604816,周一至周日 07:00-22:30
麦当劳(花都嘉华广场店),258,19,迎宾大道185号嘉华广场A座,020-86833992,周一至周日 全天
麦当劳(五羊新城店),670,28,寺右南一街一巷,020-87360684,McDonald's 周一至周日 全天
麦当劳(西槎路店),435,21,西槎路101号首层自编A107商铺二层自编A204商铺,020-36471853,周一至周日 全天
麦当劳(大道北嘉裕太阳城分店),145,24,广州大道北1811号,020-32784085,周一至周日 07:00-23:00
麦当劳(市新路得来速分店),126,23,大龙街市新路新水坑村段以西上商业楼自编号2号建筑物的一部分及周边场地,020-84889279,周一至周日 全天
麦当劳(白云机场第二航站区二店),93,31,机场大道北白云机场第二航站区东六指廊3层E63D06号商铺,18688383495,周一至周日 06:00-23:00
麦当劳(东川路云香店),90,23,大东街东华东路342号自编102号铺,020-31238160,周一至周日 07:00-23:00
麦当劳(海印缤缤广场店),1012,23,起义路一号海珠广场首层及二层（近一德路）,020-83359150,周一至周日 全天
麦当劳(安华汇店),341,24,白云大道路756号一层,020-28375101,周一至周日 07:00-23:00
麦当劳(富力盈凯店),317,19,华夏路16号自编104号铺,020-38801892,周一至周日 07:00-22:00
麦当劳(开萝大道店),419,22,开萝大道2号锐丰中心3栋底商112-114房,020-89856424,周一至周日 07:00-23:00
麦当劳(丽港大厦店),400,24,大沙地东云樯大厦首层（近大沙西站）,020-82274510,McDonald's 周一至周日 全天
麦当劳(花都天贵路得来速店),218,16,新华街道天贵路46号首层自编A01铺(金联市场旁),020-36969483,周一至周日 全天
麦当劳(凤凰北路广汇天地分店),67,31,永宁街凤凰北横路1号4栋201自编二层201号,020-85543218,周一至周日 07:00-23:00
麦当劳(金菊路店),310,22,金菊路22号101房,020-84223426,周一至周日 07:00-23:00
麦当劳(大源中路店),236,27,大源中路91号,020-31523120,周一至周日 全天
麦当劳(石北工业路店),256,23,石北工业路684号12栋首层101、102、117、118、119号商铺,020-31564916,周一至周日 07:00-24:00
麦当劳(大塘湖景分店),178,25,新窖中路171号二楼自编201铺,020-84158681   020-84158951,周一至周日 07:00-23:00
麦当劳(新生汇得来速分店),113,23,沙凤一路38号新生汇,020-82668504,周一至周日 全天
麦当劳(华忆百货店),775,22,"中山大道西6,8号天河购物中心首层自编01号",020-87568249,McDonald's 周一至周日 全天
麦当劳(增城恒展江山时代得来速店),182,24,恒展江山时代朱村大道西88号、88号之一商铺,020-32856013,周一至周日 07:30-22:30
麦当劳(大石2建华汇店),334,28,建华路建华汇商业中心一楼,020-34899606,McDonald's 周一至周日 全天
麦当劳(华立学院分店),150,19,华立科技职业学院食堂3号首层,020-26225860,周一至周日 08:00-22:00
麦当劳(都市广场店),750,25,员村二横路都市兰亭街11号,020-85534901,McDonald's 周一至周日 08:00-23:00
麦当劳(西环路店),227,28,沙湾镇龙岐村西环路“荔园新天地项目”地块,020-31047633,McDonald's 周一至周日 全天
麦当劳(金海岸花园分店),102,22,"金海岸花园二期15号商铺,大龙街兴泰东路傍江西村段98号101首层、100号301-1",13433931298,周一至周日 07:00-22:00
麦当劳(万博一路天河城分店),435,30,南村镇万博一路201号天河城负一层B1154-1156商铺麦当劳,020-84503625   020-84789337,周一至周日 07:00-23:00
麦当劳(锦绣香江得来速分店),84,22,"南村镇汉溪大道东300号,紫荆雅园3、5幢1、2、3号",13710152515   020-39230012,周一至周日 全天
麦当劳(新港西路店),511,27,"新港西路142号3,4号楼（中山大学正门对面）",020-84187500,McDonald's 周一至周日 全天
麦当劳(猎德大道店),440,24,猎德大道31号201、202、208号商铺,020-87581062,周一至周日 07:00-23:00
麦当劳(增江广场店),105,31,增江街增江商业广场首层,020-82454274,周一至周日 全天
麦当劳(惠润广场店),390,23,黄埔东路298号惠润广场首层,020-32016480,McDonald's 周一至周日 全天
麦当劳(金隆路时代云图店),113,27,双山大道时代云图,020-34685082,周一至周日 全天
麦当劳(杨箕分店),461,25,中山一路杨箕泰兴直街62号首层,020-87618314   4008517517,周一至周日 全天
麦当劳(今日广场店),1018,20,体育西路77号首层及二层,020-85596080,McDonald's 周一至周日 07:00-23:00
麦当劳(江湾路万国广场分店),170,22,江湾路283号万国广场二楼,020-84125624,周一至周日 07:00-22:00
麦当劳(鸿福路分店),374,22,钟村街祈福新村祈福缤纷汇鸿福路23、25号101房,020-82832239,周一至周日 全天
麦当劳(棠溪店),294,20,三元里大道1231号棠溪商业综合楼首、二层,020-36048121,McDonald's 尚无营业时间
麦当劳(洛溪丽江得来速分店),296,23,洛溪上漖105国道奥岐大厦首层（105国道丽江花园入口旁）,020-34508626,McDonald's 周一至周日 全天
麦当劳(新城大道豪园得来速店),58,31,石滩镇新城大道豪园翠湖街2号1楼,4008517517,周一至周日 全天
麦当劳(大坦沙东海岸分店),83,26,红楼路8号3幢自编102、103铺,020-81536913,周一至周日 全天
麦当劳(官洲分店),214,17,国际生物岛螺旋大道51号103、104铺,020-80922810,周一至周日 07:00-21:00
麦当劳(东漖北路店),346,18,东漖北路560号1楼自编5号（茶漖演舞台）,020-81679290,McDonald's 周一至周日 全天
麦当劳(天鹿南路分店),161,25,天鹿南路98号4栋盈华酒家首层商铺之7号,020-87920474,周一至周日 07:00-22:00
麦当劳(天津大厦店),447,23,景泰直街31号天津大厦首层、二层,020-86551192,McDonald's 周一至周日 全天
麦当劳(华南影都店),290,23,环市西路133号华南影都南楼首层、二层,020-36508551,McDonald's 周一至周日 全天
麦当劳(美林M·LIVE天地西座店),398,25,美林MLIVE天地C馆首层1F023号/室及二层商铺,020-89855701,周一至周日 08:00-23:00
麦当劳(东沙大道健康港分店),103,28,东沙大道16号“健康港星河COCOPark”一楼,19966278844,周一至周日 07:00-23:00
麦当劳(光明北得来速店),186,16,东环街光明北路583号,020-34808450,周一至周日 全天
麦当劳(云城南路店),419,27,云城南二路179号万达广场101房,020-31522780,周一至周日 07:00-23:00
麦当劳(庐前山南路分店),121,25,"黄阁镇锦上西街5号113,114,115,116,117号商铺服务热线:(020)89442426",020-89442426,周一至周日 07:00-23:00
麦当劳(兴南大道分店),320,24,南村镇南大路广州雅居乐花园公建1首层部分商铺,020-39935517,周一至周日 全天
麦当劳(信德商务大厦分店),588,25,信德商务中心首二层,020-83635429,McDonald's 周一至周日 全天
麦当劳(较场西店),489,22,较场西路16号体育场临街商铺二楼,020-83832110,McDonald's 周一至周日 07:00-23:00
麦当劳(合景路店),188,26,合景路73号101-103商铺,020-82514126,周一至周日 08:00-22:00
麦当劳(黄石东路店),394,24,黄石东路88号白云汇广场1楼101号铺及2楼210/233号铺,020-31523954,周一至周日 07:00-23:00
麦当劳(宜安广场店),921,24,建设六马路38号宜安广场,020-83634339,McDonald's 周一至周日 全天
麦当劳(沙步店),238,26,黄埔东路2937号金竹山广场1层,020-82022329,McDonald's 周一至周日 07:00-23:00
麦当劳(工业大道南店),303,21,工业大道南728、730、732号首层,020-80927120,周一至周日 全天
麦当劳(龟岗大马路店),484,23,龟岗大马路1号,020-37623874,McDonald's 周一至周日 07:00-23:00
麦当劳(黄边设计之都店),103,30,黄边北路152号设计之都时光汇购物中心二层自编2007号商铺,020-32782835,周一至周日 07:00-22:00
麦当劳(宝山大厦店),736,26,环市东路508-509号宝山大厦首层,020-37606101,McDonald's 周一至周日 07:00-23:00
麦当劳(南沙美麓一街分店),174,25,"美麓一街3号122-124房,104-106房",020-89857465,周一至周日 07:00-22:00
麦当劳(小谷围华南理工分店),88,23,华南理工大学凤湖四路公建B2楼,020-89857982,周一至周日 07:00-22:00
麦当劳(萝岗九龙大道DT分店),227,25,九龙镇中新知识城九龙大道西侧ZSCN-B1-2,020-89854139   4008517517,周一至周日 07:00-23:00
麦当劳(新塘海日中心店),247,19,解放北路115号海日中心首层、夹层,020-82700925,McDonald's 周一至周日 全天
麦当劳(开泰大道得来速店),304,23,开泰大道601号109-111铺,020-31600407,周一至周日 07:00-23:00
麦当劳(增派大道佰乐广场店),135,21,荔城街新园路33号101首层,020-82710109,周一至周日 07:00-23:00
麦当劳(广州黄埔东路第二分店),278,28,黄埔东路1080号,020-82515440,周一至周日 07:00-24:00
麦当劳(福德路店),306,18,桥南路福德路325号101,020-31056939,McDonald's 周一至周日 07:00-23:00
麦当劳(德信路得来速分店),199,24,桥南街陈涌村德信路295号101铺,020-84505862,周一至周日 全天
麦当劳(华厦康隆店),543,20,荔湾路100号,020-81946905,McDonald's 周一至周日 全天
麦当劳(华厦康隆店),543,20,荔湾路100号,020-81946905,McDonald's 周一至周日 全天
麦当劳(学府路麦当劳餐厅店),155,26,学府路8号首层101室,020-86975001   4008517517,周一至周日 07:00-23:00
麦当劳(恩宁路店),394,21,恩宁路258-262号首层,020-81215760,McDonald's 周一至周日 全天
麦当劳(解放北路店),219,24,解放北路1356-1358号白云世界贸易中心1期3楼,020-36251606,周一至周日 08:00-20:00
麦当劳(江燕路万科里店),492,25,江燕路97号L109铺,020-34329150,周一至周日 07:00-24:00
麦当劳(东晓南店),587,24,盈丰路1-5号A7-A8栋105号房,020-34070068,McDonald's 周一至周日 全天
麦当劳(岭南新世界分店),421,24,百顺北路1号云门New Park L217商铺,020-31236374,周一至周日 10:00-22:00
麦当劳(天马丽苑店),28,24,望亭路4号之八101号之七102号,13640278419   020-86865606,周一至周日 全天
麦当劳(天娱广场店),831,30,天河路621一625号二层,020-87536831,McDonald's 周一至周日 08:30-22:00
麦当劳(黄石路),206,25,黄石街黄石西路457-459号首二层,020-26273216,McDonald's 周一至周日 全天
麦当劳(碧桂大道分店),343,24,碧桂大道自编18号首、二层部分商铺,020-85826026,周一至周日 07:00-24:00
麦当劳(港湾路中远海运大厦店),9,23,港湾路139号101号铺,020-26093031,周一至周日 07:00-22:00
麦当劳(萝岗敏捷广场店),197,18,水西路萝岗敏捷广场A3栋185号144-147房,020-31605901,周一至周日 07:00-23:00
麦当劳(雅居乐剑桥郡得来速分店),99,20,观光路34号102首层及二楼部分,020-31061280,周一至周日 07:00-23:00
麦当劳(石溪店),637,21,工业大道中石岗路90号嘉盛购物广场1-2层,020-84340337,McDonald's 周一至周日 08:00-24:00
麦当劳(广州阁屏商务大厦店),0,23,"白云大道南685号101阁屏商务大厦首层内部自编1009-6,1009-7商铺",4009200205,周一至周日 07:00-22:00
麦当劳(华景北路店),386,24,华景北路279号110房、111房、206房,020-26247464,周一至周日 07:00-22:00
麦当劳(尚品国际得来速分店),35,15,进港大道尚品国际二街首层,020-39072557,周一至周日 全天
麦当劳(凤凰城得来速店),316,27,广园快速路以北碧桂园凤凰城,020-82973008,McDonald's 周一至周日 07:00-24:00
麦当劳(荔乡路星潮泰广场分店),100,26,荔城街荔乡路39号首层1062-1065(自编C012-1)商铺,020-31071464,周一至周日 07:00-24:00
麦当劳(天河悦景路店),216,25,"悦景路54号地下一层B112房、B113房,一层110房、111房、112房、114房",020-31709685,周一至周日 08:00-22:00
麦当劳(中唱大厦店),348,20,机场路25号中唱大厦首层,020-86583326,McDonald's 周一至周日 全天
麦当劳(百利广场店),1009,25,江南大道中路73号百利华庭首、二层（近怡丰花园）,020-89228008,McDonald's 周一至周日 全天
麦当劳(花城大道华穗路店),536,23,花城大道20号负一层104号铺,020-85607100,McDonald's 周一至周日 07:00-23:00
麦当劳(创新大道纳米谷店),27,23,创新大道粤港澳大湾区纳米创新产业聚集区2号楼首层101室,020-81945308,周一至周日 07:00-23:00
麦当劳(协亨广场店),340,29,(开创路分店)经济技术区开创大道亨晖商业广场首层,020-82601613,McDonald's 周一至周日 06:00-23:00
麦当劳(万胜广场店),594,21,万胜广场负一层,020-89117081,周一至周日 08:00-22:00
麦当劳(朱村大道荔富湖畔分店),163,26,朱村大道88号荔富湖畔商业街12-14号商铺,,周一至周日 07:00-23:00
麦当劳(信业悦都汇店),78,26,番禺大道北824号-836号101铺之二,4008517517,周一至周日 07:00-22:00
麦当劳(均禾大道得来速店),18,23,嘉禾街永嘉路28号德洲国际B栋,4009200205,周一至周日 07:00-23:00
麦当劳(英雄广场店),673,21,中山三路25-27号英雄广场负一层流行前线A001铺,020-83842963,McDonald's 周一至周日 07:00-23:00
麦当劳(大源北路太和汇分店),112,22,大源北路46号1单元首层102、105、106商铺,020-32789335,周一至周日 07:00-23:00
